Lobster,Start.category,End.category,Blisters.%,Melanisation.%,Tissue.loss.%,Total.area.compromised.%,Score,Crustavirus.abundance
1,None,Light,0,0,0.75,0.75,0.38,26.8
2,Light,Moderate,8.66,5.12,12.66,26.44,9.49,0.1
3,Light,Light,0,2.46,3.77,6.24,2.7,12.5
4,Light,Moderate,6.97,3.86,8.68,19.5,6.8,0.9
5,Light,Light,0.79,3.35,5.43,9.57,3.95,0.9
6,Light,Light,0,0.76,1.24,2,0.87,61.7
7,Light,High,2.95,25.28,25.13,53.35,21.41,0.6
8,Light,High,5.47,15.82,17.04,38.33,14.67,286.7
9,Light,Light,0,1.13,4.68,5.81,2.71,2.3
10,Light,Light,1.64,0.34,2.71,4.69,1.74,0.5
11,Light,Moderate,2.17,4.17,17.38,23.72,10.43,0.7
12,Light,Moderate,0,2.58,6.87,9.45,4.29,0.6
13,Light,Light,0,0,0.75,0.75,0.38,22.2
14,Light,Moderate,5.58,1.5,6.42,13.5,4.65,0.3
15,Light,Moderate,2.91,3.15,7.34,13.4,5.2,1.6
