Lob_10_B,Lob_10_U,Lob_11_B,Lob_11_U,Lob_12_B,Lob_12_U,Lob_13_B,Lob_13_U,Lob_14_B,Lob_14_U,Lob_15_B,Lob_15_U,Lob_1_B,Lob_1_U,Lob_2_B,Lob_2_U,Lob_3_B,Lob_3_U,Lob_4_B,Lob_4_U,Lob_5_B,Lob_5_U,Lob_6_B,Lob_6_U,Lob_7_B,Lob_7_U,Lob_8_B,Lob_8_U,Lob_9_B,Lob_9_U,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus
0,0,0,0,0,0,0,0,0,0,0,16.42,0,31.94,0,0,0,73.82,0,0,0,0,0,6.87,0,4.48,0,0,0,0,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,unk_g
0,0,0,11.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,Archaea,unk_k,Nitrososphaerota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,unk_g
0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,unk_k,Nitrososphaerota,Nitrososphaeria,Nitrosopumilales,unk_f,unk_g
0,0,0,41.16,0,3.49,0,0,0,0,0,22.87,0,353.33,0,0,0,68.53,0,4.98,0,0,0,9.47,0,3.49,0,0,0,0,Archaea,unk_k,Nitrososphaerota,unk_c,unk_o,unk_f,
0,106.61,0,886.46,0,110.63,0,26.04,0,0,0,645.57,0,6260.91,0,5.62,0,1226.77,0,97.52,0,13.19,0,366.69,0,60.51,0,0,0,67.48,Archaea,unk_k,Nitrososphaerota,unk_c,unk_o,unk_f,unk_g
0,0,0,0,0,0,0,0,0,0,0,0,0,32.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,unk_k,Thermoproteota,unk_c,unk_o,unk_f,
0,5.13,0,61.66,0,6.93,0,0,0,0,0,3.53,0,46.53,0,0,0,8.13,0,21.42,0,0,0,4.22,0,0.52,0,0,0,0,Archaea,unk_k,Thermoproteota,unk_c,unk_o,unk_f,unk_g
0,0,0,0,0,0,0,0,0,0,0,0,0,24.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,unk_k,unk_p,unk_c,unk_o,,
0,0,0,0,0,0,0,0,0,0,0,0,0,30.25,0,0,0,6.89,0,1.91,0,0,0,0,0,0,0,0,0,0,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,
0,63.2,0,666.97,0,159.01,0,2.53,0,0,0,181.97,0,2382.75,0,0,0,342.09,0,152.52,0,7.17,0,81.87,0,17.39,0,0,0,7.38,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,unk_k,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,unk_g
0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,unk_k,Acidobacteriota,unk_c,unk_o,unk_f,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,Bacteria,unk_k,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Microthrixaceae,
